 ,post_title,post_author,post_date,post_type,post_status,date,open,high,low,close,volume_shares,value_mmk,companies,market_capitalization
105,26th Apr. 2016,admin,4/26/2016 0:00,company_1,publish,20160426,32000,32000,32000,32000,11635,372320000,23480013,751360
106,25th Apr. 2016,admin,4/25/2016 0:00,company_1,publish,20160425,33500,33500,33000,34000,13898,455942000,23480013,798320
107,21st Apr. 2016,admin,4/21/2016 0:00,company_1,publish,20160421,32000,32000,32000,32000,5047,161504000,23480013,751360
108,8th Apr. 2016,admin,4/8/2016 0:00,company_1,publish,20160408,32000,32000,32000,32000,21179,677728000,23480013,751360
109,7th Apr. 2016,admin,4/7/2016 0:00,company_1,publish,20160407,32000,32000,32000,32000,18019,576608000,23480013,751360
110,6th Apr. 2016,admin,4/6/2016 0:00,company_1,publish,20160406,32000,32000,32000,32000,22315,714080000,23480013,751360
111,5th Apr. 2016,admin,4/5/2016 0:00,company_1,publish,20160405,30000,32000,30000,32000,31502,963872000,23480013,751360
112,4th Apr. 2016,admin,4/4/2016 0:00,company_1,publish,20160404,37000,37000,35000,35000,24289,871065000,23480013,821800
113,31st Mar. 2016,admin,3/31/2016 0:00,company_1,publish,20160331,39000,39000,39000,39000,65434,2551926000,23480013,915721
114,30th Mar. 2016,admin,3/30/2016 0:00,company_1,publish,20160330,31000,41000,31000,41000,73376,2552326000,23480013,962681
115,29th Mar. 2016,admin,3/29/2016 0:00,company_1,publish,20160329,41000,41000,41000,41000,210752,8640832000,23480013,962681
